0.0,Xx,1
12458.61,Rx,1
12682.7,Rx,1
61212.6,Rx,1
61437.31,Rx,1
109966.27,Rx,1
110190.17,Rx,1
128480.39,Xx,0
129417.55,Tx,0
129436.09,Tx,1
130390.17,Tx,0
158720.26,Rx,0
158944.53,Rx,0
207473.75,Rx,0
207698.2,Rx,0
256227.8,Rx,0
256451.75,Rx,0
305054.23,Rx,0
305278.62,Rx,0
332814.25,Tx,1
333751.39,Tx,1
333769.95,Tx,0
334724.03,Tx,1
353735.86,Rx,1
353960.26,Rx,1
361397.24,Tx,1
361425.88,Tx,0
402489.95,Rx,0
402713.84,Rx,0
415143.3,Tx,0
415161.84,Tx,1
441715.97,Tx,1
441744.68,Tx,0
451243.47,Rx,0
451467.48,Rx,0
499997.71,Rx,0
500222.35,Rx,0
519292.04,Tx,0
519310.5,Tx,1
540936.4,Tx,0
541871.32,Tx,0
541889.78,Tx,1
542221.5,Tx,0
542476.37,Tx,0
542494.83,Tx,1
543248.9,Tx,0
548751.97,Rx,0
548976.18,Rx,0
597506.21,Rx,0
597730.36,Rx,0
646260.54,Rx,0
646484.44,Rx,0
695015.09,Rx,0
695239.8,Rx,0
743769.71,Rx,0
743993.67,Rx,0
750166.41,Tx,1
751119.81,Tx,0
752071.88,Tx,1
765998.65,Tx,1
766027.36,Tx,0
792524.61,Rx,0
792748.74,Rx,0
841279.22,Rx,0
841503.92,Rx,0
890034.21,Rx,0
890258.28,Rx,0
900081.22,Tx,0
900099.76,Tx,1
938788.75,Rx,1
939013.15,Rx,1
952388.36,Tx,0
953323.19,Tx,0
953341.74,Tx,1
954293.83,Tx,0
987543.84,Rx,0
987768.29,Rx,0
1036298.33,Rx,0
1036522.34,Rx,0
1085053.29,Rx,0
1085277.74,Rx,0
1133807.8,Rx,0
1134031.57,Rx,0
1155968.75,Tx,1
1156903.63,Tx,1
1156922.15,Tx,0
1157874.22,Tx,1
1182562.91,Rx,1
1182786.69,Rx,1
1231317.4,Rx,1
1231541.8,Rx,1
1280072.51,Rx,1
1280297.16,Rx,1
1328826.97,Rx,1
1329051.06,Rx,1
1362847.67,Tx,0
1363782.52,Tx,0
1363801.06,Tx,1
1364753.14,Tx,0
1377581.97,Rx,0
1377806.17,Rx,0
1426336.52,Rx,0
1426560.28,Rx,0
1469684.5,Tx,0
1469713.18,Tx,1
1475091.5,Rx,1
1475315.65,Rx,1
1491881.62,Tx,1
1491900.21,Tx,0
1523846.12,Rx,0
1524070.51,Rx,0
1563852.91,Tx,1
1564787.78,Tx,1
1564806.31,Tx,0
1565758.38,Tx,1
1572600.94,Rx,1
1572825.65,Rx,1
1621355.59,Rx,1
1621579.74,Rx,1
1670110.67,Rx,1
1670335.13,Rx,1
1718865.19,Rx,1
1719088.96,Rx,1
1765834.24,Tx,0
1766787.63,Tx,1
1767620.18,Tx,1
1767739.71,Tx,0
1767844.08,Tx,0
1816374.76,Rx,0
1816599.16,Rx,0
1865129.75,Rx,0
1865353.58,Rx,0
1913884.89,Rx,0
1914109.42,Rx,0
1962639.32,Rx,0
1962863.53,Rx,0
1975032.69,Tx,1
1975967.6,Tx,1
1975986.09,Tx,0
1976938.16,Tx,1
2011394.37,Rx,1
2011618.64,Rx,1
2060148.86,Rx,1
2060373.0,Rx,1
2108903.88,Rx,1
2109127.89,Rx,1
2157658.46,Rx,1
2157883.04,Rx,1
2176020.85,Tx,0
2176955.67,Tx,0
2176974.23,Tx,1
2177926.32,Tx,0
2206413.41,Rx,0
2206638.13,Rx,0
2255167.97,Rx,0
2255392.49,Rx,0
2303922.89,Rx,0
2304147.35,Rx,0
2352677.54,Rx,0
2352901.44,Rx,0
2385938.79,Tx,1
2386873.65,Tx,1
2386892.19,Tx,0
2387844.26,Tx,1
2401432.5,Rx,1
2401656.57,Rx,1
2450186.99,Rx,1
2450411.37,Rx,1
2498942.04,Rx,1
2499165.8,Rx,1
2547696.59,Rx,1
2547920.47,Rx,1
2586929.48,Tx,0
2587864.37,Tx,0
2587882.87,Tx,1
2588834.95,Tx,0
2596451.51,Rx,0
