Time[s], Data[Decimal]
0.000000000000000, 2
0.007455780000000, 0
0.008425340000000, 2
0.017442290000000, 0
0.018398430000000, 2
0.027456790000000, 0
0.028414300000000, 2
0.037461610000000, 0
0.038431320000000, 2
0.047438620000000, 0
0.048406150000000, 2
0.057454250000000, 0
0.058407360000000, 2
0.067465200000000, 0
0.068423320000000, 2
0.077440270000000, 0
0.078407830000000, 2
0.087456710000000, 0
0.088410820000000, 2
0.097458160000000, 0
0.098427640000000, 2
0.107444600000000, 0
0.108400630000000, 2
0.117459050000000, 0
0.118413090000000, 2
0.127460430000000, 0
0.128430060000000, 2
0.137447810000000, 0
0.138403780000000, 2
0.147451880000000, 0
0.148418590000000, 2
0.157466640000000, 0
0.158424860000000, 2
0.167472210000000, 0
0.168440280000000, 2
0.177457970000000, 0
0.178413070000000, 2
0.187471480000000, 0
0.188429600000000, 2
0.197476860000000, 0
0.198446070000000, 2
0.207452490000000, 0
0.208418860000000, 2
0.217466810000000, 0
0.218436380000000, 2
0.227474070000000, 0
0.228443250000000, 2
0.237460330000000, 0
0.238416220000000, 2
0.247464270000000, 0
0.248433780000000, 2
0.257481160000000, 0
0.258438670000000, 2
0.267456480000000, 0
0.268423820000000, 2
0.277471860000000, 0
0.278429940000000, 2
0.287477240000000, 0
0.288446380000000, 2
0.297463370000000, 0
0.298419320000000, 2
0.307467380000000, 0
0.308432690000000, 2
0.317480760000000, 0
0.318438330000000, 2
0.327455270000000, 0
0.328422650000000, 2
0.337470720000000, 0
0.338425530000000, 2
0.347483230000000, 0
0.348440770000000, 2
0.357458540000000, 0
0.358425960000000, 2
0.367473930000000, 0
0.368428820000000, 2
0.377476120000000, 0
0.378445280000000, 2
0.387462190000000, 0
0.388418100000000, 2
0.397476510000000, 0
0.398432300000000, 2
0.407481080000000, 0
0.408450160000000, 2
0.417487090000000, 0
0.418455090000000, 2
0.427472030000000, 0
0.428439130000000, 2
0.437487040000000, 0
0.438444660000000, 2
0.447492740000000, 0
0.448461740000000, 2
0.457468310000000, 0
0.458435340000000, 2
0.467483380000000, 0
0.468452430000000, 2
0.477489260000000, 0
0.478458270000000, 2
0.487475210000000, 0
0.488431870000000, 2
0.497480650000000, 0
0.498449660000000, 2
0.507497100000000, 0
0.508454680000000, 2
0.517471670000000, 0
0.518439650000000, 2
