Time[s], Data[Decimal]
0.000000000000000, 1
0.017862520000000, 0
0.017920850000000, 2
0.018351830000000, 3
0.073691800000000, 1
0.073691830000000, 0
0.073691850000000, 1
0.113627730000000, 3
0.113627750000000, 1
0.113627760000000, 3
0.173846190000000, 2
0.173904430000000, 0
0.174337790000000, 1
0.178064910000000, 0
0.178125530000000, 2
0.178554310000000, 3
0.198082710000000, 1
0.198082730000000, 0
0.198082750000000, 1
0.237629220000000, 3
0.237629240000000, 1
0.237629250000000, 3
0.245625490000000, 1
0.245625520000000, 0
0.245625540000000, 1
0.305872290000000, 0
0.305935190000000, 2
0.306361800000000, 3
0.329860540000000, 2
0.329918790000000, 0
0.330351570000000, 1
0.374211890000000, 3
0.374211910000000, 1
0.374211920000000, 3
0.421662780000000, 1
0.421662800000000, 0
0.421662820000000, 1
0.457888440000000, 0
0.457950480000000, 2
0.458377830000000, 3
0.501866800000000, 2
0.501925050000000, 0
0.502357410000000, 1
0.517647130000000, 3
0.585886010000000, 2
0.585944260000000, 0
0.586376570000000, 1
0.657671520000000, 3
0.657880850000000, 2
0.657939090000000, 0
0.658371350000000, 1
0.665877080000000, 0
0.665935410000000, 2
0.666366300000000, 3
0.669653890000000, 1
0.669653910000000, 0
0.669653930000000, 1
0.749657840000000, 3
0.753894440000000, 2
0.753952680000000, 0
0.754384940000000, 1
0.826506630000000, 0
0.826564960000000, 2
0.826996220000000, 3
0.829683770000000, 1
0.829683790000000, 0
0.829683810000000, 1
0.833678300000000, 3
0.889888060000000, 2
0.889946310000000, 0
0.890379340000000, 1
0.897883910000000, 0
0.897942240000000, 2
0.898373350000000, 3
0.917668560000000, 1
0.917668580000000, 0
0.917668610000000, 1
1.029675880000000, 3
1.029675910000000, 1
1.029675920000000, 3
1.093908740000000, 2
1.093966990000000, 0
1.094399760000000, 1
1.105700180000000, 3
1.105700200000000, 1
1.105700210000000, 3
1.189690370000000, 1
1.189690390000000, 0
1.189690410000000, 1
1.273911230000000, 0
1.273969560000000, 2
1.274400870000000, 3
1.277909250000000, 2
1.277967500000000, 0
1.278400700000000, 1
1.333712740000000, 3
1.341708640000000, 1
1.341708660000000, 0
1.341708690000000, 1
1.349705080000000, 3
