Time[s], Data[Decimal]
10.594616920000000, 144
10.601542520000001, 128
10.601544040000000, 192
10.611523760000001, 128
10.624585880000000, 384
10.626600760000001, 256
10.631544720000001, 264
10.631545960000000, 328
10.641523160000000, 320
10.641524520000001, 256
10.651535120000000, 320
10.652268360000001, 256
10.661545960000000, 320
10.681992839999999, 64
10.690601000000001, 192
10.691751080000000, 208
10.691751959999999, 144
10.701555200000000, 128
10.701556840000000, 192
10.711536440000000, 128
10.721547240000000, 192
10.731557320000000, 128
10.741537640000001, 192
10.751547600000000, 128
10.761558120000000, 192
10.771537960000000, 128
10.781548480000000, 192
10.791558840000000, 128
10.801538920000000, 192
10.816981240000000, 448
10.818568960000000, 320
10.821559440000000, 328
10.821560440000001, 264
10.831538040000000, 256
10.831539600000001, 320
10.841549880000001, 256
10.851560720000000, 320
10.861540160000001, 256
10.871551119999999, 320
10.881561039999999, 256
10.891541160000001, 320
10.901551400000001, 256
10.911561960000000, 320
10.921541680000001, 256
10.931552400000001, 320
10.941562559999999, 256
10.951573520000000, 320
10.952306160000001, 256
10.961553000000000, 320
10.971563280000000, 256
10.981574160000001, 320
10.991553639999999, 256
11.001564560000000, 320
11.011574440000000, 256
11.021554960000000, 320
11.031564800000000, 256
11.050211600000001, 0
11.051768880000001, 8
11.051769760000001, 72
11.061564160000000, 64
11.061565520000000, 0
11.071576560000000, 64
11.074567720000001, 192
11.081555880000000, 128
11.091566439999999, 192
11.101576760000000, 128
11.111556840000000, 192
11.121567040000000, 128
11.131577920000000, 192
11.132310520000001, 128
11.141557479999999, 192
11.151567840000000, 128
11.152301800000000, 192
11.161578200000001, 128
11.171558680000000, 192
11.181568560000001, 128
11.191579239999999, 192
11.201589360000000, 128
11.211569640000000, 192
11.221579719999999, 128
11.231590760000000, 192
11.241570040000001, 128
11.251580760000000, 192
11.261590880000000, 128
11.271570920000000, 192
11.281581200000000, 128
11.291592039999999, 192
11.301571560000001, 128
11.311582440000000, 192
11.321592440000000, 128
11.331572840000000, 192
11.341582720000000, 128
11.351593320000001, 192
11.361573040000000, 128
11.371583720000000, 192
11.381593880000000, 128
11.391574120000000, 192
11.401584240000000, 128
11.411595240000000, 192
11.421574560000000, 128
11.431585000000000, 192
11.441595400000001, 128
11.451606120000001, 192
11.461585720000000, 128
11.471596480000001, 192
11.481606600000001, 128
11.491586920000000, 192
11.501596880000001, 128
11.516062840000000, 384
11.517451320000001, 128
11.521587560000000, 136
11.521588200000000, 200
11.531596280000000, 192
11.531597640000001, 128
11.541608680000000, 192
11.551587960000001, 128
11.552322280000000, 192
11.561598360000000, 128
11.571609320000000, 192
11.581588760000001, 128
11.586594280000000, 0
11.588081680000000, 128
11.591599720000000, 192
11.601609560000000, 128
11.611589480000001, 192
11.621599920000000, 128
11.631610600000000, 192
11.641590200000000, 128
11.651600960000000, 192
11.661611080000000, 128
11.671591360000001, 192
11.681601360000000, 128
11.691611880000000, 192
11.692345560000000, 128
11.701622760000001, 192
11.711602160000000, 128
11.721613080000001, 192
11.731622960000001, 128
11.741602920000000, 192
11.751613320000001, 128
11.752347880000000, 192
11.761623760000001, 128
11.771604200000001, 192
11.781614080000001, 128
11.791624680000000, 192
11.801604360000001, 128
11.811615080000001, 192
11.821625239999999, 128
11.831605480000000, 192
11.841615520000000, 128
11.851626560000000, 192
11.861605880000001, 128
11.871616360000001, 192
11.881626760000000, 128
11.891606760000000, 192
11.901617040000000, 128
11.911627880000001, 192
11.921607400000001, 128
11.931618280000000, 192
11.941628200000000, 128
11.951638760000000, 192
11.961618600000000, 128
11.971629160000001, 192
11.981639400000001, 128
11.991619560000000, 192
