Time[s], Data[Decimal]
1.128965890000000, 1
1.230692200000000, 3
1.289076020000000, 1
1.289076050000000, 0
1.289076070000000, 1
1.311959130000000, 5
1.329782510000000, 1
1.329782530000000, 0
1.329782540000000, 1
1.339517950000000, 0
1.350413910000000, 4
1.395246470000000, 5
1.414694620000000, 7
1.417349570000000, 5
1.417349600000000, 0
1.417349610000000, 1
1.417349620000000, 5
1.421767260000000, 4
1.443558110000000, 5
1.450799230000000, 7
1.455340370000000, 3
1.455340390000000, 1
1.455340420000000, 3
1.482561590000000, 2
1.482561610000000, 0
1.482561620000000, 2
1.485890620000000, 6
1.487599500000000, 2
1.487599530000000, 0
1.487599550000000, 2
1.499477900000000, 0
1.514670710000000, 4
1.519803990000000, 6
1.546499460000000, 7
1.555817010000000, 5
1.555817030000000, 4
1.555817040000000, 5
1.572352690000000, 1
1.572352710000000, 0
1.572352720000000, 1
1.573142840000000, 0
1.575554820000000, 1
1.584932720000000, 3
1.617674510000000, 7
1.620630750000000, 6
1.626042500000000, 4
1.633052060000000, 5
1.639501740000000, 7
1.658057500000000, 5
1.658057530000000, 0
1.658057540000000, 5
1.665412730000000, 7
1.669252600000000, 3
1.669252620000000, 0
1.669252630000000, 1
1.669252640000000, 3
1.686639720000000, 7
1.691562440000000, 3
1.691562470000000, 1
1.691562490000000, 3
1.704691400000000, 1
1.718322590000000, 0
1.722369780000000, 4
1.723216890000000, 6
1.729259640000000, 4
1.729259670000000, 0
1.729259680000000, 4
1.730719160000000, 0
1.732300480000000, 1
1.738272260000000, 0
1.740173570000000, 1
1.740185730000000, 3
1.748414550000000, 2
1.749213200000000, 3
1.762734360000000, 7
1.763527780000000, 3
1.763527810000000, 0
1.763527820000000, 1
1.763527830000000, 3
1.776132430000000, 7
1.780893450000000, 3
1.780893480000000, 0
1.780893490000000, 1
1.780893500000000, 3
1.783340360000000, 1
1.783340390000000, 0
1.783340410000000, 1
1.786483850000000, 3
1.787974020000000, 7
1.793644070000000, 6
1.793821830000000, 4
1.793821860000000, 0
1.793821870000000, 4
1.794498610000000, 5
1.806675790000000, 4
1.812969570000000, 0
1.815630110000000, 2
1.816869290000000, 3
1.816998250000000, 7
1.820134540000000, 6
1.829016350000000, 7
1.831591960000000, 5
1.831591990000000, 4
1.831592010000000, 5
1.847553610000000, 7
1.848616370000000, 3
1.848616400000000, 0
1.848616420000000, 3
1.855751420000000, 1
1.855751450000000, 0
1.855751470000000, 1
1.863105820000000, 0
1.864419150000000, 1
1.869095320000000, 5
1.870888220000000, 4
1.873398490000000, 0
1.880509610000000, 4
1.883469980000000, 0
1.886345380000000, 2
1.895220120000000, 6
1.901224350000000, 7
1.906359680000000, 3
1.906359710000000, 0
1.906359720000000, 1
1.906359730000000, 3
1.910349450000000, 2
1.910349480000000, 0
1.910349490000000, 2
1.913078980000000, 0
1.920738740000000, 4
1.921868890000000, 6
1.930126130000000, 7
1.934895560000000, 3
1.934895590000000, 0
1.934895600000000, 1
1.934895610000000, 3
1.942652410000000, 1
1.942652440000000, 0
1.942652460000000, 1
1.974496430000000, 3
1.994430040000000, 2
1.994430070000000, 0
1.994430080000000, 2
1.997862350000000, 0
2.010087790000000, 1
2.013453230000000, 5
2.048672920000000, 1
2.049318380000000, 3
2.068622300000000, 2
2.068622330000000, 0
2.068622350000000, 2
2.074313820000000, 0
2.098999810000000, 4
2.101400060000000, 5
2.103704260000000, 7
2.137504180000000, 6
2.137504210000000, 4
