Time[s], Data[Decimal]
0.658556290000000, 0
0.699483490000000, 1
0.699706220000000, 0
0.748236750000000, 1
0.748459990000000, 0
0.760421970000000, 1
0.796988900000000, 0
0.797214090000000, 1
0.845742350000000, 0
0.845967860000000, 1
0.894496400000000, 0
0.894721260000000, 1
0.943250420000000, 0
0.943475010000000, 1
0.992003900000000, 0
0.992229300000000, 1
1.040757860000000, 0
1.040983060000000, 1
1.064694490000000, 0
1.089512250000000, 1
1.089735580000000, 0
1.138266260000000, 1
1.138489350000000, 0
1.187019690000000, 1
1.187243120000000, 0
1.235773580000000, 1
1.235997440000000, 0
1.284527140000000, 1
1.284750210000000, 0
1.333282070000000, 1
1.333505570000000, 0
1.382036530000000, 1
1.382260340000000, 0
1.430791590000000, 1
1.431014670000000, 0
1.479546160000000, 1
1.479769440000000, 0
1.528301040000000, 1
1.528524770000000, 0
1.577055580000000, 1
1.577278500000000, 0
1.625810510000000, 1
1.626033830000000, 0
1.674565540000000, 1
1.674788630000000, 0
1.708217490000000, 1
1.723319160000000, 0
1.723543780000000, 1
1.772074080000000, 0
1.772299530000000, 1
1.820828630000000, 0
1.821053870000000, 1
1.869584060000000, 0
1.869808640000000, 1
1.918339070000000, 0
1.918563900000000, 1
1.967094150000000, 0
1.967318760000000, 1
2.015848520000000, 0
2.016074060000000, 1
2.064603600000000, 0
2.064828820000000, 1
2.113358020000000, 0
2.113583210000000, 1
2.162113000000000, 0
2.162337910000000, 1
2.210867550000000, 0
2.211092210000000, 1
2.259622510000000, 0
2.259848010000000, 1
2.308377060000000, 0
2.308602390000000, 1
2.405884500000000, 0
2.406109920000000, 1
2.454638510000000, 0
2.454863160000000, 1
2.503392030000000, 0
2.503617490000000, 1
2.552145960000000, 0
2.552371320000000, 1
2.600900380000000, 0
2.601125090000000, 1
2.649654460000000, 0
2.649879340000000, 1
2.698408660000000, 0
2.698634200000000, 1
2.747162990000000, 0
2.747388450000000, 1
2.795916320000000, 0
2.796141220000000, 1
2.844671400000000, 0
2.844896570000000, 1
2.893426390000000, 0
2.893651350000000, 1
2.942180940000000, 0
2.942405650000000, 1
2.990935860000000, 0
2.991160430000000, 1
3.039690410000000, 0
3.039915730000000, 1
3.047364840000000, 0
3.088446180000000, 1
3.088669690000000, 0
3.137200690000000, 1
3.137423990000000, 0
3.185956110000000, 1
3.186179790000000, 0
3.234711170000000, 1
3.234934090000000, 0
3.283466230000000, 1
3.283689890000000, 0
3.332219700000000, 1
3.332443220000000, 0
3.380973660000000, 1
3.381196990000000, 0
3.429727120000000, 1
3.429950320000000, 0
3.478481180000000, 1
3.478704120000000, 0
3.527234730000000, 1
3.527458380000000, 0
3.575988630000000, 1
3.576212180000000, 0
3.624742630000000, 1
3.624965980000000, 0
3.673496160000000, 1
3.673719250000000, 0
3.722250130000000, 1
3.722473050000000, 0
3.771003570000000, 1
3.771227380000000, 0
3.819757560000000, 1
3.819981140000000, 0
3.868511180000000, 1
3.868734470000000, 0
3.917265010000000, 1
3.917488240000000, 0
3.966018500000000, 1
3.966241570000000, 0
4.014772560000000, 1
4.014996310000000, 0
4.063526010000000, 1
4.063749640000000, 0
4.112280120000000, 1
4.112503410000000, 0
4.161034140000000, 1
4.161257240000000, 0
4.209787460000000, 1
4.210010530000000, 0
4.258541650000000, 1
4.258765300000000, 0
4.307295030000000, 1
4.307518570000000, 0
4.356049000000001, 1
4.356272430000000, 0
4.404802610000000, 1
4.405025700000000, 0
4.453556340000000, 1
4.453779500000000, 0
4.502310520000000, 1
4.502533830000000, 0
4.551064000000000, 1
4.551287560000000, 0
4.599817900000000, 1
4.600040890000000, 0
4.648570640000000, 1
4.648793720000000, 0
4.697388000000000, 1
4.697611430000000, 0
4.746077930000000, 1
4.746301790000000, 0
4.794831900000000, 1
4.795055590000000, 0
4.843586450000000, 1
4.843809860000000, 0
4.892341390000000, 1
4.892564650000000, 0
4.941095930000000, 1
4.941318980000000, 0
4.989850840000000, 1
4.990073750000001, 0
5.038605410000000, 1
5.038829080000000, 0
5.087360420000000, 1
5.087583790000000, 0
5.136114870000000, 1
5.136338150000000, 0
5.233624400000000, 1
5.233847710000000, 0
5.282379360000000, 1
5.282603040000000, 0
5.331133810000000, 1
5.331357370000000, 0
5.379888850000000, 1
5.380112140000000, 0
5.428643300000000, 1
5.428866470000000, 0
5.477398270000000, 1
5.477622180000000, 0
5.526153290000000, 1
5.526376540000000, 0
5.574907840000000, 1
5.575131340000000, 0
5.623663680000000, 1
5.623886640000000, 0
5.672418390000000, 1
5.672641370000000, 0
5.721173490000000, 1
5.721396730000000, 0
5.745581810000000, 1
5.769926890000000, 0
5.770152340000000, 1
5.818681160000000, 0
5.818906650000000, 1
5.867435360000000, 0
5.867660380000000, 1
5.916189540000000, 0
5.916414770000000, 1
5.964944870000000, 0
5.965169540000000, 1
6.013699820000000, 0
6.013924860000000, 1
6.062455400000000, 0
6.062680630000000, 1
6.111210320000001, 0
6.111434940000001, 1
6.159964810000000, 0
6.160189680000000, 1
6.208718830000000, 0
6.208944010000000, 1
6.257472250000000, 0
6.257697770000000, 1
6.306226460000000, 0
6.306451130000000, 1
6.354979790000000, 0
6.355204940000000, 1
6.403733740000000, 0
6.403958700000000, 1
6.452487320000000, 0
6.452712000000000, 1
6.501241250000001, 0
6.501465850000000, 1
6.549995290000000, 0
6.550220100000000, 1
6.598748750000000, 0
6.598973890000000, 1
6.647503800000000, 0
6.647729220000000, 1
6.696259250000000, 0
6.696483990000000, 1
6.745015210000000, 0
6.745240300000000, 1
6.793769760000000, 0
6.793995100000000, 1
6.842525710000000, 0
6.842750390000000, 1
6.891280260000000, 0
6.891505220000000, 1
6.940036180000000, 0
6.940261450000000, 1
6.988791640000001, 0
6.989016310000000, 1
7.037547070000000, 0
7.037772600000000, 1
7.086303180000000, 0
7.086528410000001, 1
7.135059160000000, 0
7.135284700000001, 1
7.183813680000000, 0
7.184038450000000, 1
7.232569600000000, 0
7.232794740000000, 1
7.281324180000000, 0
7.281549520000000, 1
7.330080170000000, 0
7.330304880000000, 1
7.378835660000000, 0
7.379060600000000, 1
7.427590580000000, 0
7.427815950000000, 1
7.476345160000000, 0
7.476569740000000, 1
7.525099050000001, 0
7.525324090000000, 1
7.573852540000000, 0
7.574077810000000, 1
7.622606560000000, 0
7.622831160000000, 1
7.671360070000000, 0
7.671584940000000, 1
7.720114190000000, 0
7.720339200000000, 1
7.768867670000001, 0
7.769093040000000, 1
7.817621540000000, 0
7.817846340000000, 1
7.866375120000000, 0
7.866600170000000, 1
7.915129100000001, 0
7.915354420000000, 1
7.963884990000000, 0
7.964110200000000, 1
8.012640570000000, 0
8.012865550000001, 1
8.061395030000000, 0
8.061620330000000, 1
8.110150050000000, 0
8.110374640000000, 1
8.158905060000000, 0
8.159130410000000, 1
8.207660430000001, 0
8.207885709999999, 1
8.256415510000000, 0
8.256640500000000, 1
8.305170490000000, 0
8.305395850000000, 1
8.353926010000000, 0
8.354150610000000, 1
8.402679500000000, 0
8.402904890000000, 1
8.451433390000000, 0
8.451658640000000, 1
8.500186910000000, 0
8.500411990000000, 1
8.548940990000000, 0
8.549165750000000, 1
8.597694349999999, 0
8.597919510000001, 1
8.646448360000001, 0
8.646673900000000, 1
8.695202910000001, 0
8.695427609999999, 1
8.743956840000001, 0
8.744182009999999, 1
8.792710390000000, 0
8.792935760000001, 1
8.841464180000001, 0
8.841689130000001, 1
8.890218420000000, 0
8.890443840000000, 1
8.938972530000001, 0
8.939197190000000, 1
8.987726710000000, 0
8.987951940000000, 1
9.036480290000000, 0
9.036705250000001, 1
9.085234300000000, 0
9.085459050000001, 1
9.133987790000001, 0
9.134212400000001, 1
9.182741840000000, 0
9.182967100000001, 1
9.231495260000001, 0
9.231719910000001, 1
9.280249310000000, 0
9.280474210000000, 1
9.329002730000001, 0
9.329228029999999, 1
9.377756690000000, 0
9.377981320000000, 1
9.426510240000001, 0
9.426735140000000, 1
9.475264160000000, 0
9.475489420000001, 1
9.524018300000000, 0
9.524243210000000, 1
9.572772880000000, 0
9.572997590000000, 1
9.621526060000001, 0
9.621751330000000, 1
9.670280270000001, 0
9.670505640000000, 1
9.719036190000001, 0
9.719261430000000, 1
9.767791680000000, 0
9.768016720000000, 1
9.816547760000001, 0
9.816772540000001, 1
9.865303120000000, 0
9.865527810000000, 1
9.914058130000001, 0
9.914283620000001, 1
9.962813680000000, 0
9.963038890000000, 1
10.011569639999999, 0
10.011794710000000, 1
10.060324090000000, 0
10.060549000000000, 1
10.109079169999999, 0
10.109303840000001, 1
10.157833690000000, 0
10.158059100000001, 1
10.206589550000000, 0
10.206814940000001, 1
10.255345070000001, 0
10.255570200000001, 1
10.304100120000001, 0
10.304325020000000, 1
10.352855600000000, 0
10.353080340000000, 1
10.401610560000000, 0
10.401836060000001, 1
10.450366080000000, 0
10.450591409999999, 1
10.499122030000001, 0
10.499347170000000, 1
10.547876550000000, 0
10.548101500000000, 1
10.581504710000001, 0
10.596631450000000, 1
10.596854459999999, 0
10.645384940000000, 1
10.645608760000000, 0
10.694138990000001, 1
10.694362560000000, 0
10.742892390000000, 1
10.743115890000000, 0
10.791646390000000, 1
10.791869690000000, 0
10.840399950000000, 1
10.840622980000001, 0
10.889154240000000, 1
10.889377790000001, 0
10.937907830000000, 1
10.938131520000001, 0
10.986661320000000, 1
10.986884850000001, 0
11.035416250000001, 1
11.035639620000000, 0
11.084171749999999, 1
11.084394950000000, 0
11.132926770000001, 1
11.133149720000000, 0
11.181681230000001, 1
11.181905080000000, 0
11.230436259999999, 1
11.230659810000001, 0
11.279190760000001, 1
11.279414180000000, 0
11.327946700000000, 1
11.328169910000000, 0
11.376702260000000, 1
11.376925240000000, 0
11.425457150000000, 1
11.425681010000000, 0
11.474212690000000, 1
11.474436310000000, 0
11.522967710000000, 1
11.523191080000000, 0
11.571723100000000, 1
11.571946410000001, 0
11.620479140000000, 1
11.620702210000001, 0
11.669233600000000, 1
11.669456540000001, 0
11.717989700000000, 1
11.718213300000000, 0
11.766745139999999, 1
11.766968600000000, 0
11.815500070000001, 1
11.815723400000000, 0
11.864255600000000, 1
11.864478730000000, 0
11.913009590000000, 1
11.913233440000001, 0
11.961763890000000, 1
11.961987770000000, 0
12.010518010000000, 1
12.010741570000000, 0
12.059272270000001, 1
12.059495930000001, 0
12.108026400000000, 1
12.108249630000000, 0
12.156780970000000, 1
12.157004030000000, 0
12.205534940000000, 1
12.205758790000001, 0
12.254288499999999, 1
12.254512120000001, 0
12.303042530000001, 1
12.303265830000001, 0
12.351795900000001, 1
12.352019160000001, 0
12.400550020000001, 1
12.400772990000000, 0
12.449303950000001, 1
12.449527320000000, 0
12.498057390000000, 1
12.498281030000001, 0
12.546811410000000, 1
12.547034360000000, 0
12.595564910000000, 1
12.595788190000000, 0
12.644318890000001, 1
12.644541990000000, 0
12.693071890000001, 1
12.693295250000000, 0
12.741826380000001, 1
12.742050050000000, 0
12.790580970000001, 1
12.790804380000001, 0
12.839335780000001, 1
12.839559149999999, 0
12.888091350000000, 1
12.888314390000000, 0
12.936846290000000, 1
12.937069280000001, 0
12.985600690000000, 1
12.985824580000001, 0
13.034355760000000, 1
13.034579340000001, 0
13.083110340000001, 1
13.083333610000000, 0
13.131866240000001, 1
13.132089440000000, 0
13.180620850000000, 1
13.180843770000001, 0
13.229374640000000, 1
13.229598510000001, 0
13.278128800000001, 1
13.278351779999999, 0
13.326882190000001, 1
13.327105610000000, 0
13.424391190000000, 1
13.424614740000001, 0
13.473144690000000, 1
13.473368040000000, 0
13.521898210000000, 1
13.522121830000000, 0
13.570652210000000, 1
13.570875130000001, 0
13.619405630000001, 1
13.619628900000000, 0
13.668159640000001, 1
13.668382610000000, 0
13.716913060000000, 1
13.717136000000000, 0
13.765667160000000, 1
13.765890830000000, 0
13.814421110000000, 1
13.814644100000001, 0
13.863174530000000, 1
13.863397890000000, 0
13.911928510000001, 1
13.912152200000000, 0
13.960682000000000, 1
13.960904990000000, 0
14.009435939999999, 1
14.009659320000001, 0
14.058189430000001, 1
14.058413000000000, 0
14.106943440000000, 1
14.107166420000000, 0
14.155696950000001, 1
14.155920190000000, 0
14.204450899999999, 1
14.204673960000001, 0
14.253204390000001, 1
14.253428260000000, 0
14.301958440000000, 1
14.302182050000001, 0
14.350712370000000, 1
14.350935350000000, 0
14.399465870000000, 1
14.399689150000000, 0
14.448219770000000, 1
14.448443390000000, 0
14.496973270000000, 1
14.497196250000000, 0
14.545727340000001, 1
14.545950580000000, 0
14.594480890000000, 1
14.594704350000001, 0
14.643234670000000, 1
14.643457590000001, 0
14.691988120000000, 1
14.692211450000000, 0
14.740741650000000, 1
14.740965250000000, 0
14.789495220000001, 1
14.789718510000000, 0
14.838248800000001, 1
14.838472160000000, 0
14.887002640000000, 1
14.887225640000000, 0
14.935756250000001, 1
14.935979380000001, 0
14.984512380000000, 1
14.984735740000000, 0
15.033266650000000, 1
15.033490420000000, 0
15.082021550000000, 1
15.082244780000000, 0
15.130775670000000, 1
15.130998580000000, 0
15.179529850000000, 1
15.179752909999999, 0
15.228284080000000, 1
15.228507580000000, 0
15.277039050000001, 1
15.277262010000001, 0
15.325795100000001, 1
15.326018770000001, 0
15.374551060000000, 1
15.374774070000001, 0
15.423304530000001, 1
15.423527750000000, 0
15.472058480000001, 1
15.472282170000000, 0
15.520811990000000, 1
15.521034970000001, 0
15.569566000000000, 1
15.569789270000001, 0
15.618319450000000, 1
15.618542970000000, 0
15.667073510000000, 1
15.667297370000000, 0
15.715827420000000, 1
15.716051170000000, 0
15.764580950000001, 1
15.764803930000001, 0
15.813335020000000, 1
15.813558170000000, 0
15.862088440000001, 1
15.862312060000001, 0
15.910842490000000, 1
15.911066330000001, 0
15.959596210000001, 1
15.959819130000000, 0
16.008350450000002, 1
16.008573370000001, 0
16.057104460000001, 1
16.057328260000002, 0
16.105858449999999, 1
16.106081530000001, 0
16.154611950000000, 1
16.154835360000000, 0
16.203365940000001, 1
16.203589560000001, 0
16.252119850000000, 1
16.252343419999999, 0
16.300873450000001, 1
16.301096760000000, 0
16.349627399999999, 1
16.349850520000000, 0
16.398380820000000, 1
16.398604070000001, 0
16.447134739999999, 1
16.447358619999999, 0
16.495888400000002, 1
16.496111420000002, 0
16.544642320000001, 1
16.544865720000001, 0
16.593395730000001, 1
16.593619360000002, 0
16.642149820000000, 1
16.642372820000002, 0
16.690903710000001, 1
16.691127550000001, 0
16.739659249999999, 1
16.739882880000000, 0
16.788414339999999, 1
16.788637430000001, 0
16.837169679999999, 1
16.837392980000001, 0
16.885925770000000, 1
16.886148779999999, 0
16.934680140000001, 1
16.934903080000002, 0
16.983436110000000, 1
16.983659760000002, 0
17.032190759999999, 1
17.032414150000001, 0
17.080945650000000, 1
17.081168950000002, 0
17.129701220000001, 1
17.129924280000001, 0
17.178455209999999, 1
17.178678760000000, 0
17.227208579999999, 1
17.227432369999999, 0
17.275963059999999, 1
17.276186140000000, 0
17.324717060000001, 1
17.324940470000001, 0
17.373471129999999, 1
17.373694120000000, 0
17.422224600000000, 1
17.422447540000000, 0
17.470978510000002, 1
17.471202340000001, 0
17.519732099999999, 1
17.519955140000000, 0
17.568486069999999, 1
17.568709120000001, 0
17.617240500000001, 1
17.617464200000001, 0
17.665995479999999, 1
17.666218510000000, 0
17.714751480000000, 1
17.714975339999999, 0
17.763506930000002, 1
17.763730510000002, 0
17.812261480000000, 1
17.812484430000001, 0
17.861017440000001, 1
17.861240670000001, 0
17.909771950000000, 1
17.909995500000001, 0
17.958527950000001, 1
17.958751549999999, 0
18.007283399999999, 1
18.007506599999999, 0
18.056037440000001, 1
18.056260930000001, 0
18.104790900000001, 1
18.105014669999999, 0
18.153544900000000, 1
18.153767930000001, 0
18.202299199999999, 1
18.202522760000001, 0
18.251053450000001, 1
18.251277120000001, 0
18.299807850000001, 1
18.300030920000001, 0
18.348561969999999, 1
18.348784970000001, 0
18.397315700000000, 1
18.397538990000001, 0
18.446069370000000, 1
18.446292289999999, 0
18.494823210000000, 1
18.495047090000000, 0
18.543577250000002, 1
18.543800319999999, 0
18.592330839999999, 1
18.592554180000000, 0
18.641084209999999, 1
18.641307510000001, 0
18.689838309999999, 1
18.690061280000002, 0
18.738592140000002, 1
18.738815830000000, 0
18.787345689999999, 1
18.787569380000001, 0
18.836099740000002, 1
18.836323180000001, 0
18.884853070000002, 1
18.885076480000002, 0
18.933607139999999, 1
18.933831059999999, 0
18.982360589999999, 1
18.982583569999999, 0
19.031114510000002, 1
19.031338380000001, 0
19.079868070000000, 1
19.080091710000001, 0
19.128621970000001, 1
19.128845219999999, 0
19.177375560000002, 1
19.177598800000002, 0
19.226129550000000, 1
19.226352540000001, 0
19.274883500000001, 1
19.275107370000001, 0
19.323636969999999, 1
19.323860450000002, 0
19.372390890000002, 1
19.372614470000002, 0
19.421144500000000, 1
19.421367770000000, 0
19.469898490000002, 1
19.470121530000000, 0
19.518651949999999, 1
19.518875640000001, 0
19.567405930000000, 1
19.567629629999999, 0
19.616159410000002, 1
19.616382959999999, 0
19.664913389999999, 1
19.665136730000000, 0
19.713667420000000, 1
19.713890809999999, 0
19.762420819999999, 1
19.762643830000002, 0
19.811175349999999, 1
19.811398600000000, 0
19.859929789999999, 1
19.860152930000002, 0
19.908684340000001, 1
19.908907970000001, 0
19.957439780000001, 1
19.957662989999999, 0
20.006195829999999, 1
20.006418820000000, 0
20.054950210000001, 1
20.055174090000001, 0
20.103706240000001, 1
20.103929789999999, 0
20.152461630000001, 1
20.152685220000002, 0
20.201216770000002, 1
20.201440490000000, 0
20.246653300000002, 1
20.249969390000000, 0
20.250194100000002, 1
20.257325739999999, 0
20.298724220000000, 1
20.298947340000002, 0
20.347477780000002, 1
20.347701420000000, 0
20.396231660000002, 1
20.396455150000001, 0
20.444985180000000, 1
20.445208480000002, 0
20.493739189999999, 1
20.493962159999999, 0
20.542492599999999, 1
20.542715610000002, 0
20.591246620000000, 1
20.591470350000002, 0
20.640000600000000, 1
20.640223649999999, 0
20.688755990000001, 1
20.688979700000001, 0
20.737511099999999, 1
20.737734780000000, 0
20.786265629999999, 1
20.786488540000001, 0
20.835021470000001, 1
20.835244910000000, 0
20.883777040000002, 1
20.884000490000002, 0
20.932532030000001, 1
20.932754970000001, 0
20.981287470000002, 1
20.981510740000001, 0
21.030043370000001, 1
21.030267070000001, 0
21.078798989999999, 1
21.079021960000002, 0
21.127553400000000, 1
21.127777139999999, 0
21.176307430000001, 1
21.176530970000002, 0
21.225061380000000, 1
21.225285240000002, 0
21.273814950000002, 1
21.274037910000001, 0
21.322568790000002, 1
21.322792330000002, 0
21.371322899999999, 1
21.371546160000001, 0
21.420077050000000, 1
21.420300900000001, 0
21.468831260000002, 1
21.469055170000001, 0
21.517585270000001, 1
21.517809000000000, 0
21.566339320000001, 1
21.566562330000000, 0
21.615093170000002, 1
21.615316159999999, 0
21.663846860000000, 1
21.664070270000000, 0
21.712600760000001, 1
21.712824250000001, 0
21.761354740000002, 1
21.761578490000002, 0
21.858862139999999, 1
21.859085400000001, 0
21.907615740000001, 1
21.907839450000001, 0
21.956369630000001, 1
21.956592750000002, 0
22.005123080000001, 1
22.005346480000000, 0
22.053877119999999, 1
22.054100630000001, 0
22.102630610000002, 1
22.102853610000000, 0
22.151384700000001, 1
22.151608379999999, 0
22.200138689999999, 1
22.200361709999999, 0
22.248892070000000, 1
22.249115760000002, 0
22.297646140000001, 1
22.297869779999999, 0
22.346399540000000, 1
22.346622580000002, 0
22.395153940000000, 1
22.395376910000000, 0
22.443908090000001, 1
22.444131960000000, 0
22.492661960000000, 1
22.492884970000002, 0
22.541415560000001, 1
22.541638800000001, 0
22.590169480000000, 1
22.590393070000001, 0
22.638922930000000, 1
22.639146150000002, 0
22.687676939999999, 1
22.687900700000000, 0
22.736430810000002, 1
22.736654000000001, 0
22.785184400000002, 1
22.785407760000002, 0
22.833938340000000, 1
22.834161309999999, 0
22.882691829999999, 1
22.882914860000000, 0
22.931445810000000, 1
22.931669160000002, 0
22.980199270000000, 1
22.980422960000002, 0
23.028953210000001, 1
23.029176509999999, 0
23.077706680000002, 1
23.077930030000001, 0
23.126460690000002, 1
23.126684390000001, 0
23.175214140000001, 1
23.175437190000000, 0
23.223968129999999, 1
23.224191959999999, 0
23.272722070000000, 1
23.272945249999999, 0
23.321475670000002, 1
23.321699020000001, 0
23.370229490000000, 1
23.370453380000001, 0
23.418983100000002, 1
23.419206150000001, 0
23.467736900000002, 1
23.467960480000002, 0
23.516490390000001, 1
23.516714250000000, 0
23.565244459999999, 1
23.565467580000000, 0
23.613997910000002, 1
23.614221310000001, 0
23.662751530000001, 1
23.662974670000001, 0
23.711504860000002, 1
23.711728409999999, 0
23.760258260000001, 1
23.760481739999999, 0
23.809012290000002, 1
23.809235540000000, 0
23.857765850000000, 1
23.857989340000000, 0
23.906519729999999, 1
23.906743600000002, 0
23.955273340000002, 1
23.955496400000001, 0
24.004027250000000, 1
24.004250830000000, 0
24.052780770000002, 1
24.053004529999999, 0
24.101534810000000, 1
24.101757800000001, 0
24.150288170000000, 1
24.150511600000002, 0
24.199042210000002, 1
24.199265150000002, 0
24.247796189999999, 1
24.248019729999999, 0
24.296549660000000, 1
24.296773030000001, 0
24.345303699999999, 1
24.345526790000001, 0
24.394057140000001, 1
24.394280590000001, 0
24.442811630000001, 1
24.443034890000000, 0
24.491565650000002, 1
24.491788660000001, 0
24.540319849999999, 1
24.540543020000001, 0
24.589074060000002, 1
24.589297760000001, 0
24.637827990000002, 1
24.638051050000001, 0
24.686581530000002, 1
24.686804850000001, 0
24.735335500000001, 1
24.735559179999999, 0
24.784089359999999, 1
24.784312950000000, 0
24.832843199999999, 1
24.833066280000001, 0
24.881597039999999, 1
24.881820080000001, 0
24.930351150000000, 1
24.930574379999999, 0
24.979104849999999, 1
24.979328150000001, 0
25.027860990000001, 1
25.028083980000002, 0
25.076615969999999, 1
25.076839270000001, 0
25.125371310000002, 1
25.125594570000001, 0
25.174126359999999, 1
25.174349370000002, 0
25.222881180000002, 1
25.223104670000001, 0
25.271636830000002, 1
25.271860470000000, 0
25.320391380000000, 1
25.320614729999999, 0
25.369147260000002, 1
25.369370540000002, 0
25.417901850000000, 1
25.418124830000000, 0
25.466657740000002, 1
25.466880660000001, 0
25.515413270000000, 1
25.515636960000002, 0
25.564168190000000, 1
25.564391700000002, 0
25.612923790000000, 1
25.613147059999999, 0
25.661679729999999, 1
25.661902789999999, 0
25.710435150000002, 1
25.710658120000002, 0
25.759191260000001, 1
25.759414930000002, 0
25.856701570000002, 1
25.856925020000002, 0
25.905455200000002, 1
25.905678350000002, 0
25.954209110000001, 1
25.954432120000000, 0
26.051716640000002, 1
26.051940179999999, 0
26.100470019999999, 1
26.100693509999999, 0
26.149224069999999, 1
26.149447309999999, 0
26.246731900000000, 1
26.246954850000002, 0
26.295485500000002, 1
26.295709210000002, 0
26.344238969999999, 1
26.344462480000001, 0
26.392993199999999, 1
26.393216310000000, 0
26.441746500000001, 1
26.441969570000001, 0
26.490500430000001, 1
26.490723370000001, 0
26.539253810000002, 1
26.539477670000000, 0
26.588007960000002, 1
26.588231440000001, 0
26.636761340000000, 1
26.636984800000000, 0
26.685515460000001, 1
26.685738570000002, 0
26.734268889999999, 1
26.734492339999999, 0
26.783025110000001, 1
26.783248669999999, 0
26.831779830000002, 1
26.832003459999999, 0
26.880535340000002, 1
26.880758759999999, 0
26.929290330000001, 1
26.929513560000000, 0
26.978045860000002, 1
26.978268860000000, 0
27.026801780000000, 1
27.027025630000001, 0
27.075556310000000, 1
27.075779920000002, 0
27.124312289999999, 1
27.124535250000001, 0
27.173067100000001, 1
27.173290020000000, 0
27.221820789999999, 1
27.222043850000002, 0
27.270574100000001, 1
27.270797120000001, 0
27.319328250000002, 1
27.319551950000001, 0
27.368081610000001, 1
27.368305249999999, 0
27.416835640000002, 1
27.417059020000000, 0
27.465589140000002, 1
27.465812310000000, 0
27.514342960000000, 1
27.514566110000001, 0
27.563097810000002, 1
27.563320440000002, 0
27.611851690000002, 1
27.612075180000001, 0
27.660605830000002, 1
27.660829509999999, 0
27.709360080000000, 1
27.709583280000000, 0
27.758115150000002, 1
27.758338640000002, 0
27.806869559999999, 1
27.807093370000000, 0
27.855625470000000, 1
27.855848739999999, 0
27.904381010000002, 1
27.904604469999999, 0
27.953135809999999, 1
27.953358770000001, 0
28.001891539999999, 1
28.002114600000002, 0
28.050645899999999, 1
28.050868870000002, 0
28.099401960000002, 1
28.099625700000001, 0
28.148156020000002, 1
28.148379000000002, 0
28.245663290000000, 1
28.245886559999999, 0
28.294416880000000, 1
28.294639860000000, 0
28.343171099999999, 1
28.343394660000001, 0
28.391924330000002, 1
28.392147959999999, 0
28.440678330000001, 1
28.440901759999999, 0
28.489431800000002, 1
28.489655089999999, 0
28.538186039999999, 1
28.538408860000001, 0
28.586940280000000, 1
28.587164150000000, 0
28.635696260000000, 1
28.635919950000002, 0
28.684451690000000, 1
28.684675250000002, 0
28.733207090000001, 1
28.733430020000000, 0
28.781961559999999, 1
28.782185320000000, 0
28.830716700000000, 1
28.830940150000000, 0
28.879472740000001, 1
28.879696410000001, 0
28.928227809999999, 1
28.928451240000001, 0
28.976983190000002, 1
28.977206540000001, 0
29.025737220000000, 1
29.025960340000001, 0
29.074490579999999, 1
29.074713640000002, 0
29.123245010000002, 1
29.123468440000000, 0
29.171998580000000, 1
29.172221710000002, 0
29.269506040000000, 1
29.269729330000001, 0
29.318259900000001, 1
29.318482630000002, 0
29.367013600000000, 1
29.367236900000002, 0
29.464520940000000, 1
29.464744530000001, 0
29.513274790000001, 1
29.513497830000002, 0
29.562028470000001, 1
29.562251589999999, 0
29.610781910000000, 1
29.611004919999999, 0
29.659535959999999, 1
29.659759659999999, 0
29.708290250000001, 1
29.708513020000002, 0
29.757043509999999, 1
29.757266820000002, 0
29.805797410000000, 1
29.806021120000000, 0
29.854550880000001, 1
29.854773850000001, 0
29.903305110000002, 1
29.903528210000001, 0
29.952058330000000, 1
