Time[s], Data[Hex]
0.000000000000000, 2
0.012458610000000, 3
0.012682700000000, 2
0.061212600000000, 3
0.061437310000000, 2
0.109966270000000, 3
0.110190170000000, 2
0.128480390000000, 0
0.129417550000000, 1
0.129436090000000, 3
0.130390170000000, 1
0.158720260000000, 0
0.158944530000000, 1
0.207473750000000, 0
0.207698200000000, 1
0.256227800000000, 0
0.256451750000000, 1
0.305054230000000, 0
0.305278620000000, 1
0.332814250000000, 3
0.333751390000000, 2
0.333769950000000, 0
0.334724030000000, 2
0.353735860000000, 3
0.353960260000000, 2
0.361397240000000, 3
0.361425880000000, 1
0.402489950000000, 0
0.402713840000000, 1
0.415143300000000, 0
0.415161840000000, 2
0.441715970000000, 3
0.441744680000000, 1
0.451243470000000, 0
0.451467480000000, 1
0.499997710000000, 0
0.500222350000000, 1
0.519292040000000, 0
0.519310500000000, 2
0.540936400000000, 0
0.541871320000000, 1
0.541889780000000, 3
0.542221500000000, 1
0.542476370000000, 0
0.542494830000000, 2
0.543248900000000, 0
0.548751970000000, 1
0.548976180000000, 0
0.597506210000000, 1
0.597730360000000, 0
0.646260540000000, 1
0.646484440000000, 0
0.695015090000000, 1
0.695239800000000, 0
0.743769710000000, 1
0.743993670000000, 0
0.750166410000000, 2
0.751119810000000, 0
0.752071880000000, 2
0.765998650000000, 3
0.766027360000000, 1
0.792524610000000, 0
0.792748740000000, 1
0.841279220000000, 0
0.841503920000000, 1
0.890034210000000, 0
0.890258280000000, 1
0.900081220000000, 0
0.900099760000000, 2
0.938788750000000, 3
0.939013150000000, 2
0.952388360000000, 0
0.953323190000000, 1
0.953341740000000, 3
0.954293830000000, 1
0.987543840000000, 0
0.987768290000000, 1
1.036298330000000, 0
1.036522340000000, 1
1.085053290000000, 0
1.085277740000000, 1
1.133807800000000, 0
1.134031570000000, 1
1.155968750000000, 3
1.156903630000000, 2
1.156922150000000, 0
1.157874220000000, 2
1.182562910000000, 3
1.182786690000000, 2
1.231317400000000, 3
1.231541800000000, 2
1.280072510000000, 3
1.280297160000000, 2
1.328826970000000, 3
1.329051060000000, 2
1.362847670000000, 0
1.363782520000000, 1
1.363801060000000, 3
1.364753140000000, 1
1.377581970000000, 0
1.377806170000000, 1
1.426336520000000, 0
1.426560280000000, 1
1.469684500000000, 0
1.469713180000000, 2
1.475091500000000, 3
1.475315650000000, 2
1.491881620000000, 3
1.491900210000000, 1
1.523846120000000, 0
1.524070510000000, 1
1.563852910000000, 3
1.564787780000000, 2
1.564806310000000, 0
1.565758380000000, 2
1.572600940000000, 3
1.572825650000000, 2
1.621355590000000, 3
1.621579740000000, 2
1.670110670000000, 3
1.670335130000000, 2
1.718865190000000, 3
1.719088960000000, 2
1.765834240000000, 0
1.766787630000000, 2
1.767620180000000, 3
1.767739710000000, 1
1.767844080000000, 0
1.816374760000000, 1
1.816599160000000, 0
1.865129750000000, 1
1.865353580000000, 0
1.913884890000000, 1
1.914109420000000, 0
1.962639320000000, 1
1.962863530000000, 0
1.975032690000000, 2
1.975967600000000, 3
1.975986090000000, 1
1.976938160000000, 3
2.011394370000000, 2
2.011618640000000, 3
2.060148860000000, 2
2.060373000000000, 3
2.108903880000000, 2
2.109127890000000, 3
2.157658460000000, 2
2.157883040000000, 3
2.176020850000000, 1
2.176955670000000, 0
2.176974230000000, 2
2.177926320000000, 0
2.206413410000000, 1
2.206638130000000, 0
2.255167970000000, 1
2.255392490000000, 0
2.303922890000000, 1
2.304147350000000, 0
2.352677540000000, 1
2.352901440000000, 0
2.385938790000000, 2
2.386873650000000, 3
2.386892190000000, 1
2.387844260000000, 3
2.401432500000000, 2
2.401656570000000, 3
2.450186990000000, 2
2.450411370000000, 3
2.498942040000000, 2
2.499165800000000, 3
2.547696590000000, 2
2.547920470000000, 3
2.586929480000000, 1
2.587864370000000, 0
2.587882870000000, 2
2.588834950000000, 0
2.596451510000000, 1
2.596676030000000, 0
2.645206120000000, 1
2.645430830000000, 0
2.693960110000000, 1
2.694184260000000, 0
2.742713570000000, 1
2.742938280000000, 0
2.791467650000000, 1
2.791691480000000, 0
2.793838430000000, 2
2.794791820000000, 0
2.795743900000000, 2
2.840221110000000, 3
2.840445320000000, 2
2.847878290000000, 3
2.847906930000000, 1
2.888974570000000, 0
2.889198700000000, 1
2.937728050000000, 0
2.937952380000000, 1
2.986481700000000, 0
2.986705900000000, 1
2.996603750000000, 3
2.997538600000000, 2
2.997557150000000, 0
2.998509230000000, 2
3.035235680000000, 3
3.035459770000000, 2
3.058762290000000, 3
3.058780870000000, 1
3.083989300000000, 0
3.084213130000000, 1
3.132743320000000, 0
3.132967210000000, 1
3.181496810000000, 0
3.181720820000000, 1
3.206090390000000, 3
3.207025270000000, 2
3.207043790000000, 0
3.207995860000000, 2
3.230250790000000, 3
3.230475190000000, 2
3.279004310000000, 3
3.279228080000000, 2
3.327758450000000, 3
3.327982290000000, 2
3.376511910000000, 3
3.376736310000000, 2
3.409687790000000, 0
3.410622640000000, 1
3.410641180000000, 3
3.411593260000000, 1
3.425266000000000, 0
3.425490640000000, 1
3.474020020000000, 0
3.474244530000000, 1
3.522773540000000, 0
3.522997990000000, 1
3.571526620000000, 0
3.571750760000000, 1
3.617061560000000, 3
3.618014960000000, 1
3.618967030000000, 3
3.619297880000000, 1
3.619571080000000, 3
3.620280890000000, 2
3.620505090000000, 3
3.669035100000000, 2
3.669258980000000, 3
3.717789270000000, 2
3.718013160000000, 3
3.766544140000000, 2
3.766768210000000, 3
3.815299310000000, 2
3.815523070000000, 3
3.817075600000000, 1
3.818028990000000, 3
3.818981070000000, 1
3.864054270000000, 0
3.864278400000000, 1
3.912808790000000, 0
3.913032610000000, 1
3.961563870000000, 0
3.961787630000000, 1
4.010318390000000, 0
4.010542530000000, 1
4.018048280000000, 3
4.018983160000000, 2
4.019001670000000, 0
4.019953750000000, 2
4.059073370000000, 3
4.059297900000000, 2
4.107827920000000, 3
4.108052070000000, 2
4.156582380000000, 3
4.156807090000000, 2
4.205337050000000, 3
4.205560950000000, 2
4.220557460000000, 0
4.221492310000000, 1
4.221510850000000, 3
4.222462930000000, 1
4.254091550000000, 0
4.254315310000000, 1
4.302846600000001, 0
4.303070490000001, 1
4.351601120000000, 0
4.351825570000000, 1
4.400356050000000, 0
4.400580430000000, 1
4.424155760000000, 3
4.425090630000000, 2
4.425109150000000, 0
4.426061230000000, 2
4.449110680000000, 3
4.449334770000000, 2
4.497865730000000, 3
4.498089950000000, 2
4.546620260000000, 3
4.546844030000000, 2
4.595375340000000, 3
4.595599860000000, 2
4.624633780000000, 0
4.625568680000000, 1
4.625587160000000, 3
4.626539250000000, 1
4.644129830000000, 0
4.644354220000000, 1
4.692884760000000, 0
4.693109390000000, 1
4.741639340000000, 0
4.741863480000000, 1
4.790394450000000, 0
4.790618340000000, 1
4.830710560000000, 3
4.831645450000000, 2
4.831663960000000, 0
4.832616030000001, 2
4.839148900000001, 3
4.839372680000000, 2
4.887903990000000, 3
4.888127820000000, 2
4.936658470000000, 3
4.936882930000000, 2
4.985413550000001, 3
4.985637770000000, 2
5.034168110000000, 3
5.034392130000001, 2
5.039891990000000, 0
5.040845380000000, 2
5.041797460000000, 0
5.082923060000000, 1
5.083147280000000, 0
5.131677610000000, 1
5.131901390000000, 0
5.180432660000000, 1
5.180657250000000, 0
5.229187220000000, 1
5.229411610000001, 0
5.242418170000001, 2
5.243353000000000, 3
5.243371560000000, 1
5.244323640000000, 3
5.277942270000000, 2
5.278166720000000, 3
5.326696760000000, 2
5.326920840000001, 3
5.375451810000000, 2
5.375675700000000, 3
5.424206920000000, 2
5.424431060000000, 3
5.442847520000000, 1
5.443782400000000, 0
5.443800910000000, 2
5.444752990000000, 0
