Time[s], Data[Hex]
0.000000000000000, 1
0.024880660000000, 0
0.025105170000000, 1
0.073636400000000, 0
0.073860970000000, 1
0.122462210000000, 0
0.122686340000000, 1
0.143630630000000, 0
0.171145340000000, 1
0.171369430000000, 0
0.219900150000000, 1
0.220124790000000, 0
0.268655330000000, 1
0.268879660000000, 0
0.276336080000000, 1
0.317409040000000, 0
0.317632990000000, 1
0.366163130000000, 0
0.366387830000000, 1
0.414916870000000, 0
0.415141190000000, 1
0.463671140000000, 0
0.463894970000000, 1
0.512424820000000, 0
0.512649330000000, 1
0.561178650000000, 0
0.561403170000000, 1
0.609932990000000, 0
0.610157500000000, 1
0.617606430000000, 0
0.658687230000000, 1
0.658911370000000, 0
0.707441560000000, 1
0.707665710000000, 0
0.756195770000000, 1
0.756419540000000, 0
0.804950040000000, 1
0.805173880000000, 0
0.853703660000000, 1
0.853927740000000, 0
0.902457930000000, 1
0.902682080000000, 0
0.951211670000000, 1
0.951435880000000, 0
0.999965760000000, 1
1.000190280000000, 0
1.048719620000000, 1
1.048944080000000, 0
1.097473740000000, 1
1.097697890000000, 0
1.146227420000000, 1
1.146451250000000, 0
1.194981630000000, 1
1.195206090000000, 0
1.231325860000000, 1
1.243735880000000, 0
1.243960450000000, 1
1.292490370000000, 0
1.292714260000000, 1
1.341245140000000, 0
1.341469590000000, 1
1.390000570000000, 0
1.390224460000000, 1
1.438755650000000, 0
1.438979790000000, 1
1.487510400000000, 0
1.487734600000000, 1
1.536265570000000, 0
1.536489960000000, 1
1.585020280000000, 0
1.585244800000000, 1
1.633775430000000, 0
1.634000130000000, 1
1.682530110000000, 0
1.682754000000000, 1
1.731285410000000, 0
1.731509300000000, 1
1.780040060000000, 0
1.780264140000000, 1
1.828794300000000, 0
1.829018500000000, 1
1.877548080000000, 0
1.877772340000000, 1
1.926302190000000, 0
1.926526710000000, 1
1.975055930000000, 0
1.975280510000000, 1
2.023810140000000, 0
2.024034840000000, 1
2.072564290000000, 0
2.072788680000000, 1
2.121318090000000, 0
2.121542050000000, 1
2.170072180000000, 0
2.170296880000000, 1
2.218825920000000, 0
2.219049680000000, 1
2.267580190000000, 0
2.267804020000000, 1
2.316333810000000, 0
2.316557890000000, 1
2.365088020000000, 0
2.365312220000000, 1
2.413841820000000, 0
2.414066020000000, 1
2.462595910000000, 0
2.462820420000000, 1
2.511349710000000, 0
2.511574230000000, 1
2.560103730000000, 0
2.560327560000000, 1
2.608857510000000, 0
2.609081400000000, 1
2.616519320000000, 0
2.657611810000000, 1
2.657835770000000, 0
2.706365980000000, 1
2.706590570000000, 0
2.755119660000000, 1
